id_registro;fecha;turno;linea_produccion;fase;unidades_producidas;unidades_defectuosas;tiempo_produccion_min;tiempo_parada_min;hubo_parada;motivo_parada;operario_id;registro_con_errores
94012;26/05/2023;mañana;C;corte;;0;450;0;FALSO;;OP036;FALSO
38569;08/09/2023;tarde;A;control_calidad;407;30;;7;VERDADERO;desconocido;OP060;FALSO
57419;09/07/2024;tarde;A;tratamiento_termico;411;16;322;14;VERDADERO;desconocido;OP023;FALSO
91018;03/02/2024;tarde;C;expedicion;434;8;253;22;VERDADERO;desconocido;OP020;FALSO
50685;21/10/2024;noche;A;mecanizado;276;;608;14;VERDADERO;desconocido;OP005;FALSO
32103;06/11/2024;noche;A;tratamiento_termico;276;13;455;4;VERDADERO;desconocido;OP063;FALSO
13718;09/08/2024;tarde;B;expedicion;556;9;268;18;VERDADERO;desconocido;OP031;FALSO
30932;13/03/2023;mañana;B;tratamiento_termico;363;12;306;83;VERDADERO;desconocido;OP022;FALSO
89395;17/10/2023;noche;B;mecanizado;206;6;546;41;VERDADERO;desconocido;OP039;FALSO
78742;17/06/2024;noche;;corte;378;18;594;396;VERDADERO;desconocido;OP043;FALSO
64568;16/01/2024;mañana;C;mecanizado;317;18;378;38;VERDADERO;desconocido;OP035;FALSO
34966;15/04/2024;tarde;B;corte;409;8;607;9;VERDADERO;desconocido;OP069;FALSO
61987;25/09/2024;noche;B;tratamiento_termico;290;14;410;14;VERDADERO;desconocido;OP005;FALSO
73858;28/09/2024;noche;C;mecanizado;197;8;442;66;VERDADERO;desconocido;OP017;FALSO
48602;07/03/2024;noche;B;tratamiento_termico;225;12;403;10;VERDADERO;desconocido;OP022;FALSO
73646;12/06/2024;mañana;B;tratamiento_termico;440;22;355;29;VERDADERO;desconocido;;FALSO
93284;15/11/2023;noche;C;mecanizado;268;18;479;13;VERDADERO;desconocido;OP074;FALSO
93665;23/05/2024;mañana;A;corte;352;;464;27;VERDADERO;desconocido;OP061;FALSO
52233;22/07/2023;tarde;C;tratamiento_termico;350;19;438;75;VERDADERO;desconocido;OP034;FALSO
63636;02/02/2023;mañana;B;mecanizado;;9;507;14;VERDADERO;desconocido;OP072;FALSO
37102;07/01/2024;noche;C;tratamiento_termico;340;9;391;134;VERDADERO;desconocido;OP041;FALSO
41082;11/12/2024;tarde;B;tratamiento_termico;343;13;375;35;VERDADERO;desconocido;OP059;FALSO
61435;07/12/2024;tarde;;mecanizado;261;12;387;2;VERDADERO;desconocido;OP043;FALSO
88087;15/04/2023;noche;A;tratamiento_termico;273;12;377;5;VERDADERO;desconocido;OP061;FALSO
89260;08/05/2023;mañana;C;corte;441;29;431;37;VERDADERO;desconocido;OP044;FALSO
89260;08/05/2023;mañana;C;corte;441;29;431;37;VERDADERO;desconocido;OP044;FALSO
66010;06/12/2024;tarde;A;corte;398;5;485;4;VERDADERO;desconocido;OP039;FALSO
87353;03/04/2023;mañana;B;mecanizado;281;14;461;24;VERDADERO;desconocido;OP065;FALSO
68827;26/11/2024;tarde;B;tratamiento_termico;334;20;428;9;VERDADERO;desconocido;OP021;FALSO
40841;09/06/2023;tarde;B;corte;402;7;531;2;VERDADERO;desconocido;OP080;FALSO
85196;18/12/2023;tarde;A;mecanizado;254;14;447;23;VERDADERO;desconocido;OP078;FALSO
58867;30/04/2024;tarde;C;corte;490;12;422;13;VERDADERO;desconocido;OP030;FALSO
56659;14/02/2024;mañana;A;corte;443;9;424;33;VERDADERO;desconocido;OP078;FALSO
24937;15/03/2023;noche;C;expedicion;421;10;253;11;VERDADERO;desconocido;OP031;FALSO
74297;14/04/2023;mañana;C;mecanizado;279;18;430;67;VERDADERO;desconocido;OP033;FALSO
51071;03/08/2024;mañana;A;expedicion;423;6;247;5;VERDADERO;desconocido;OP068;FALSO
84838;17/11/2024;tarde;A;expedicion;421;10;240;1;VERDADERO;desconocido;OP051;FALSO
21825;16/12/2023;tarde;C;mecanizado;428;21;449;1;VERDADERO;desconocido;OP020;FALSO
49216;29/04/2024;mañana;B;control_calidad;281;18;;19;VERDADERO;desconocido;OP020;FALSO
27047;20/08/2023;noche;C;expedicion;340;12;286;53;VERDADERO;desconocido;OP016;FALSO
74067;23/03/2024;tarde;;mecanizado;310;14;423;19;VERDADERO;desconocido;OP068;FALSO
80455;05/03/2024;tarde;A;corte;;;543;14;VERDADERO;desconocido;OP031;FALSO
10484;12/09/2024;mañana;C;tratamiento_termico;491;15;335;11;VERDADERO;desconocido;OP022;FALSO
40182;22/09/2024;mañana;C;control_calidad;595;54;286;14;VERDADERO;desconocido;OP015;FALSO
34057;17/11/2024;noche;C;expedicion;372;11;236;12;VERDADERO;desconocido;OP001;FALSO
35150;02/02/2023;mañana;;mecanizado;274;15;387;28;VERDADERO;desconocido;OP027;FALSO
29346;19/08/2024;tarde;A;mecanizado;292;18;464;22;VERDADERO;desconocido;OP020;FALSO
31211;15/06/2023;tarde;B;expedicion;400;12;217;7;VERDADERO;desconocido;OP053;FALSO
