id_registro,fecha,turno,linea_produccion,fase,unidades_producidas,unidades_defectuosas,tiempo_produccion_min,tiempo_parada_min,hubo_parada,motivo_parada,operario_id,fecha_carga,registro_con_errores
94012,2023-05-26,mañana,C,corte,,0,450,0,f,,OP036,2026-04-27 18:34:50.227774,f
38569,2023-09-08,tarde,A,control_calidad,407,30,,7,t,desconocido,OP060,2026-04-27 18:34:50.227774,f
57419,2024-07-09,tarde,A,tratamiento_termico,411,16,322,14,t,desconocido,OP023,2026-04-27 18:34:50.227774,f
91018,2024-02-03,tarde,C,expedicion,434,8,253,22,t,desconocido,OP020,2026-04-27 18:34:50.227774,f
50685,2024-10-21,noche,A,mecanizado,276,,608,14,t,desconocido,OP005,2026-04-27 18:34:50.227774,f
32103,2024-11-06,noche,A,tratamiento_termico,276,13,455,4,t,desconocido,OP063,2026-04-27 18:34:50.227774,f
13718,2024-08-09,tarde,B,expedicion,556,9,268,18,t,desconocido,OP031,2026-04-27 18:34:50.227774,f
30932,2023-03-13,mañana,B,tratamiento_termico,363,12,306,83,t,desconocido,OP022,2026-04-27 18:34:50.227774,f
89395,2023-10-17,noche,B,mecanizado,206,6,546,41,t,desconocido,OP039,2026-04-27 18:34:50.227774,f
78742,2024-06-17,noche,,corte,378,18,594,396,t,desconocido,OP043,2026-04-27 18:34:50.227774,f
64568,2024-01-16,mañana,C,mecanizado,317,18,378,38,t,desconocido,OP035,2026-04-27 18:34:50.227774,f
34966,2024-04-15,tarde,B,corte,409,8,607,9,t,desconocido,OP069,2026-04-27 18:34:50.227774,f
61987,2024-09-25,noche,B,tratamiento_termico,290,14,410,14,t,desconocido,OP005,2026-04-27 18:34:50.227774,f
73858,2024-09-28,noche,C,mecanizado,197,8,442,66,t,desconocido,OP017,2026-04-27 18:34:50.227774,f
48602,2024-03-07,noche,B,tratamiento_termico,225,12,403,10,t,desconocido,OP022,2026-04-27 18:34:50.227774,f
73646,2024-06-12,mañana,B,tratamiento_termico,440,22,355,29,t,desconocido,,2026-04-27 18:34:50.227774,f
93284,2023-11-15,noche,C,mecanizado,268,18,479,13,t,desconocido,OP074,2026-04-27 18:34:50.227774,f
93665,2024-05-23,mañana,A,corte,352,,464,27,t,desconocido,OP061,2026-04-27 18:34:50.227774,f
52233,2023-07-22,tarde,C,tratamiento_termico,350,19,438,75,t,desconocido,OP034,2026-04-27 18:34:50.227774,f
63636,2023-02-02,mañana,B,mecanizado,,9,507,14,t,desconocido,OP072,2026-04-27 18:34:50.227774,f
37102,2024-01-07,noche,C,tratamiento_termico,340,9,391,134,t,desconocido,OP041,2026-04-27 18:34:50.227774,f
41082,2024-12-11,tarde,B,tratamiento_termico,343,13,375,35,t,desconocido,OP059,2026-04-27 18:34:50.227774,f
61435,2024-12-07,tarde,,mecanizado,261,12,387,2,t,desconocido,OP043,2026-04-27 18:34:50.227774,f
88087,2023-04-15,noche,A,tratamiento_termico,273,12,377,5,t,desconocido,OP061,2026-04-27 18:34:50.227774,f
89260,2023-05-08,mañana,C,corte,441,29,431,37,t,desconocido,OP044,2026-04-27 18:34:50.227774,f
89260,2023-05-08,mañana,C,corte,441,29,431,37,t,desconocido,OP044,2026-04-27 18:34:50.227774,f
66010,2024-12-06,tarde,A,corte,398,5,485,4,t,desconocido,OP039,2026-04-27 18:34:50.227774,f
87353,2023-04-03,mañana,B,mecanizado,281,14,461,24,t,desconocido,OP065,2026-04-27 18:34:50.227774,f
68827,2024-11-26,tarde,B,tratamiento_termico,334,20,428,9,t,desconocido,OP021,2026-04-27 18:34:50.227774,f
40841,2023-06-09,tarde,B,corte,402,7,531,2,t,desconocido,OP080,2026-04-27 18:34:50.227774,f
85196,2023-12-18,tarde,A,mecanizado,254,14,447,23,t,desconocido,OP078,2026-04-27 18:34:50.227774,f
58867,2024-04-30,tarde,C,corte,490,12,422,13,t,desconocido,OP030,2026-04-27 18:34:50.227774,f
56659,2024-02-14,mañana,A,corte,443,9,424,33,t,desconocido,OP078,2026-04-27 18:34:50.227774,f
24937,2023-03-15,noche,C,expedicion,421,10,253,11,t,desconocido,OP031,2026-04-27 18:34:50.227774,f
74297,2023-04-14,mañana,C,mecanizado,279,18,430,67,t,desconocido,OP033,2026-04-27 18:34:50.227774,f
51071,2024-08-03,mañana,A,expedicion,423,6,247,5,t,desconocido,OP068,2026-04-27 18:34:50.227774,f
84838,2024-11-17,tarde,A,expedicion,421,10,240,1,t,desconocido,OP051,2026-04-27 18:34:50.227774,f
21825,2023-12-16,tarde,C,mecanizado,428,21,449,1,t,desconocido,OP020,2026-04-27 18:34:50.227774,f
49216,2024-04-29,mañana,B,control_calidad,281,18,,19,t,desconocido,OP020,2026-04-27 18:34:50.227774,f
27047,2023-08-20,noche,C,expedicion,340,12,286,53,t,desconocido,OP016,2026-04-27 18:34:50.227774,f
74067,2024-03-23,tarde,,mecanizado,310,14,423,19,t,desconocido,OP068,2026-04-27 18:34:50.227774,f
80455,2024-03-05,tarde,A,corte,,,543,14,t,desconocido,OP031,2026-04-27 18:34:50.227774,f
10484,2024-09-12,mañana,C,tratamiento_termico,491,15,335,11,t,desconocido,OP022,2026-04-27 18:34:50.227774,f
40182,2024-09-22,mañana,C,control_calidad,595,54,286,14,t,desconocido,OP015,2026-04-27 18:34:50.227774,f
34057,2024-11-17,noche,C,expedicion,372,11,236,12,t,desconocido,OP001,2026-04-27 18:34:50.227774,f
35150,2023-02-02,mañana,,mecanizado,274,15,387,28,t,desconocido,OP027,2026-04-27 18:34:50.227774,f
29346,2024-08-19,tarde,A,mecanizado,292,18,464,22,t,desconocido,OP020,2026-04-27 18:34:50.227774,f
31211,2023-06-15,tarde,B,expedicion,400,12,217,7,t,desconocido,OP053,2026-04-27 18:34:50.227774,f
75841,2024-03-24,mañana,A,tratamiento_termico,409,25,317,68,t,desconocido,OP036,2026-04-27 18:34:50.227774,f
52157,2024-06-26,noche,A,mecanizado,234,12,505,159,t,desconocido,OP002,2026-04-27 18:34:50.227774,f
34227,2023-07-22,tarde,C,mecanizado,301,18,429,88,t,desconocido,OP074,2026-04-27 18:34:50.227774,f
37521,2023-09-11,noche,A,mecanizado,,,439,109,t,desconocido,OP009,2026-04-27 18:34:50.227774,f
48469,2023-02-15,tarde,B,tratamiento_termico,,5,363,0,f,,OP076,2026-04-27 18:34:50.227774,f
23947,2024-05-21,noche,C,mecanizado,289,,428,0,f,,OP030,2026-04-27 18:34:50.227774,f
92544,2023-11-27,noche,,corte,,,564,0,f,,OP060,2026-04-27 18:34:50.227774,f
43586,2024-07-15,mañana,A,corte,,0,500,0,f,,OP027,2026-04-27 18:34:50.227774,f
11658,2023-05-14,noche,B,tratamiento_termico,252,10,382,35,t,error_operario,OP021,2026-04-27 18:34:50.227774,f
18285,2023-12-03,tarde,B,tratamiento_termico,372,,398,0,f,,OP050,2026-04-27 18:34:50.227774,f
54245,2023-11-07,noche,A,tratamiento_termico,,,369,12,t,mantenimiento,OP066,2026-04-27 18:34:50.227774,f
74044,2023-02-12,tarde,B,tratamiento_termico,384,14,336,0,f,,OP066,2026-04-27 18:34:50.227774,f
22208,2023-10-18,mañana,C,corte,422,10,513,0,f,,OP030,2026-04-27 18:34:50.227774,f
22208,2023-10-18,mañana,C,corte,422,10,513,0,f,,OP030,2026-04-27 18:34:50.227774,f
26637,2024-04-28,mañana,A,corte,,,507,0,f,,OP049,2026-04-27 18:34:50.227774,f
96816,2024-12-03,tarde,C,corte,430,21,442,72,t,falta_material,OP011,2026-04-27 18:34:50.227774,f
