id_registro,fecha,turno,linea_produccion,fase,unidades_producidas,unidades_defectuosas,tiempo_produccion_min,tiempo_parada_min,hubo_parada,motivo_parada,operario_id
13278,26.07.2023, mañana,C,expedicion,483,11,236,288,yes,error operario,OP065
42098,2024-12-20,tarde,C,expedicion,434,4,233,0,0,fallo_maquina,OP020
23434,2023-08-26,maana,C,expedicion,468,11,269,0,NO,,OP038
81482,2024-11-30,mañana,,mecanizado,278,11,447,9,yes,Mantenimiento,OP064
65302,2023/10/14,mañana,C,tratamiento_termico,362,14,277,0,No,,OP063
13278,2024-11-27,tarde,C,Mecanizado,336,13,343,0,no,,OP032
76237,20/01/2024,mañana,B,tratamiento_termico,302,12,298,0,no,,OP051
83563,2024-09-10,noche,A,corte,307,9,565,22,sí,mantenimienot,OP047 
95181,01-12-2024,noche,A,control_calidad,432,37,309,0,No,,OP007
64987,2023-06-18,tarde,C,mecanizado,272,9,467,0,no,,OP026
87236,2023-11-21,tarde,,tratamiento_termico,318,9,440,0,no,,OP017
10851,12-07-2023,mañana,A,mecanizado,275,19,,0,no,,OP016
30926,2023-12-27,NOCHE,B,mecanizado,286,12,394,33,S,,OP056
54597,2023-04-12,mañaña,A,control_calidad,400,40,307,0,n,,OP-038
38221,2023-07-20,  mañaña,B,control_calidad,-24,3,306,0,NO,,OP054
54118,27/01/2023,noch,,mecanizado,294,14,404,0,No,,
59797,2023-06-27,tarde,B,mecanizado,334,15,392,0,NO,,OP042
55082,2024-08-30,noche,A,corte,357,7,416,0,NO,,OP029
15695,2024-01-23,maana,A,expedición,,9,442,39,si,fallo_maquina,OP012
80284,14-04-2023,NOCHE,C,control_calidad,371,35,317,0,No,,OP073
59615,2023-12-22,noche,A,tratamiento_termico,229,5,448,11,SI,fallo_maquina,OP004
48427,2023-10-02,mañana,,expedicion,529,12,214,0,n,,OP026
91070,2024-08-20,tare,A,tratamiento_termicoo,346,13,448,0,NO,,OP055
57400,2024-04-05,mañana,,control_calidad,572,55,328,0,NO,,OP042
19116,01-16-2024,tarde,B,tratamiento_termico,275,11,405,71,si,fallo_maquina,OP014
39871,2024-11-18,noche,B,tratamiento_termico,273,13,324,7,yes,fallo_maquina,OP077
20458,2024-10-21,tare,,mecanizdo,338,13,379,0,0,,OP009
23238,2023-11-21,  NOCHE,B,corte ,386,14,548,0,no,,OP014
69429,20231127,tarde,A,tratamiento_termico,422,22,2202,0,no,,OP010
57819,2024-12-16,mañana,A,mecanizado,268,11,403,0,n,,OP031
56566,2024-05-09,tarde,C,expedicion,535,14,231,0,no,,OP028
44993,04-18-2023,noche,C,expediccion,297,14,427,0,no,,OP047
99593,14/02/2024,tarde,B,control_calidadd,329,15,386,15,No,,OP004
89840,2024-07-17,mañana,C,tratamiento_termico,341,14,377,0,n,,OP023
80010,2024-11-28,mañana,,corte,343,17,560,0,NO,,OP052
31417,2023-10-02,mañana,B,expedicion,320,326,239,0,n,,OP031
45382,2024-04-11,mañana,B,mecanizado,304,15,398,0,no,,OP075
93886,2023/01/18,tarde,,mecanizado,291,11,435,30,1,falta material,OP063
38785,2023-12-08,maana,,tratamiento_termico,409,13,392,0,No,,OP064
17331,2023-07-31,mañana,,corte,351,11,559,0,n,,OP023
14207,2024-03-03,tarde ,A,tratamiento_termico,380,10,454,0,NO,,op064
62581,2024-09-30,mañana,B,tratamiento_termico,-3,3,399,0,no,falta_material,OP001
37653,2024-05-29,noche,A,mecanizado,320,8,510,32,Sí,fallo_maquina ,OP050
84341,2023-11-06,mañana,C,expediccion,384,15,341,35,Sí,error_operario,OP070
51245,23-06-2024,noche,,control_calidad,464,37,323,25,0,,OP018
75435,2023-05-11,noche,a,control_calidad,402,36,352,0,0,,OP008
94259,2023-10-25,noche,A,expedicion,299,5,301,0,No,,OP018
44718,2023-11-15,  mañana,,corte,431,17,497,0,No,,OP065
83579,2023-07-08,noch,C,expedicion,491,6,275,0,No,,OP070
86622,25-08-2024,tarde,C,tratamiento_termicoo,365,8,365,0,0,,OP005
86484,30/12/2023,noche,A,Mecanizado,261,15,394,0,0,,OP020
38746,2023-05-24,noche,B,control_calidad,349,31,355,0,0,,OP017
28131,2024-02-18,mañana,c,corte,354,13,414,0,No,,OP050
21915,2023-04-28,noche,B,corte,389,13,554,0,0,,OP063
24371,20240625,mañaña,C,CORTE,347,9,488,0,n,,OP044
30969,2024-05-23,mañana,B,tratamiento_termico,303,19,324,14,S,,OP011
65333,2023-02-22,tarde,B,mecanizdo,364,22,439,20,yes,falta_material,OP052
60432,2023-09-27,mañana,B,corte,384,9,636,0,no,,op073
71348,2024-09-19,  noch,A,corte,342,5,536,0,n,,OP030
82512,2024-07-01,tarde,C,control_calidad,419,41,317,0,n,,OP16
11504,2023-09-01,noche,B,expedicion,369,2,,0,no,,OP024
25014,2023-10-27,tarde,A,corte,392,18,522,0,NO,,OP057
80381,2024-10-31,tarde,C,corte,349,14,392,0,no,,OP067
94012,2023-05-26,mañana,C,corte,,0,450,0,NO,, OP036
48469,2023-02-15,  tarde,B,tratamiento_termico,,5,363,0,NO,,OP076
69470,2024-03-13,manana,,tratamiento_termico,383,10,436,0,0,,OP049
89840,2023-10-15,tarde ,A,tratamiento_termico,353,18,310,0,NO,,OP078
33416,2023-07-03,mañana,B,tratamiento_termico,395,18,406,13,si,falta_material,OP009
23947,2024-05-21,noche,C,mecanizado,289,,428,0,0,,OP030
49117,2024-11-25,Tarde,A,tratamiento_termico,377,18,526,31,Sí,error_operario,OP010
76540,2024-01-04,tarde, A,tratamiento_termico,400,21,388,20,0,,OP041
30032,2023-12-19,NOCHE,a,mecanizado,210,6,378,38,Sí,,OP071
31174,2023-02-22,noche,B,mecanizado,253,13,432,15,Yes,mantenimiento,OP031
79514,2024/07/27,tarde,C,control_calidad,468,31,302,0,No,,OP075
88504,2023-05-01,  tarde,A,mecanizado,259,13,,66,yes,error_operario,OP013
12552,2023-03-16,noche,B ,control_calidad,460,37,279,0,NO,,OP006
57576,2024-10-07,tarde,B,mecanizado,407,22,512,0,No,,OP048
50306,08-25-2024,mañaña,B,expedicion,313,8,245,0,NO,,op023
41571,2023-08-04,tarde,C,tratamiento_termico,326,8,287,0,No,,OP078
20322,2023/07/31,Mañana,A,control calidad,376,18,441,0,NO,,OP074
73699,2023-04-23,mañana,B,corte,379,9,461,19,Yes,fallo_maquina,OP010
79822,2024-06-09,mañana,B,Corte,456,11,552,0,0,,op005
26828,2023-08-14,tarde,B,Expedicion,593,11,269,28,Sí,fallo_maquina,OP023
82063,2023-08-29,tarde,A,mecaniado,416,12,366,0,0,,OP013
79163,2024-03-05,Tarde,B,control_calidad ,482,36,367,0,No,,OP063
65461,2023-08-09,NOCHE,B,tratamiento_termico,239,9,391,15,sí,falta_material,OP006
80686,20230731,  noche,A,corte,418,,611,0,NO,,OP071
36365,2023-06-10,NOCHE,AA,mecanizado,310,15,382,0,no,mantenimiento,OP065
62296,2023-08-24,noche,B,control_calidad,450,39,366,0,no,,OP054
95180,2023-04-08,tarde,C,expediccion,339,18,402,0,No,,OP074
77839,2024-07-28,tarde,,control_calidad,-32,6,323,0,no,,OP004
42493,2024-10-20,mañana,b,mecanizado,371,18,357,35,S,fallo_maquina,OP008
54313,2023-06-04,noche,B,mecanizdo,290,21,471,0,NO,,OP060
76540,2023-03-25,NOCHE,B,corte,315,8,541,0,no,,OP022
38864,2024-03-04,tarde,B,tratamiento_termico,319,9,396,0,No,,OP79
77839,2023-12-05,Mañana,C,Corte,457,18,563,0,no,,OP013
40007,2023-06-10,noche,A,corte,381,9,567,0,0,,OP0052
14117,2023-06-06,tarde,C,expedicion,487,12,219,0,0,,OP079
19287,2023-08-10,noche,A,corte,338,9,535,0,n,,OP039
46500,2024-01-30,tarde,C,corte,359,16,546,0,NO,,OP072
38080,21.03.2024,mañana,línea A,tratamiento_termico,338,16,407,0,No,,OP002
84847,2023-12-03,tarde,,control_calidadd,328,22,412,0,NO,,OP074 
41850,2024-04-29,noche,A,corte,406,10,529,56,SI,Mantenimiento,OP008
63354,2023-10-12, mañana,C,tratamiento_termico,367,21,354,0,NO,,OP052
22704,28/05/2024,mañana,A,mecanizado,386,19,473,0,no,,OP016
56438,2024-04-19,mañana,A,expedicion,382,,205,13,Yes,fallo_maquina ,OP-040
71213,2024-01-24,mañana,C,mecanizado,328,11,451,0,NO,,OP063
17100,2024-10-08,mañana,C,expedicion,402,8,239,0,NO,,OP065
94696,2023-08-04,tarde,A,mecanizado ,343,15,412,0,0,,OP014
62772,2023-12-09,mañana,B,control_calidad,546,45,348,0,0,,OP052
24322,2024-05-09,tarde,A,expedicion,420,11,245,17,0,,OP0039
34931,2023-05-14,mañana,,mecanizado,278,9,431,194,SI,falta_material,OP011
28373,2023-06-07,tarde,A,control_calidad,391,23,249,0,n,,OP013
46509,2023-12-01,maana,B,expedicion,401,10,233,0,No,,OP031
19880,2024-02-12,maana,B,mecanizado,208,15,499,5,SI,error_operario,OP005
82132,2024-06-13,noches, A,corte,324,9,527,1,SI,error_operario,OP002
95477,2023-11-07,noche,C,tratamiento_termicoo,353,18,480,0,NO,,OP055
11934,12.12.2023,mañana,C,control_calidad,491,38,314,0,n,,OP048
40982,2024-07-09,tarde,A,tratamiento_termico,361,9,360,24,S,mantenimiento,OP017
73653,2024-04-14,mañana,,corte,401,13,508,0,no,,OP011
62565,2023-07-08,  tarde ,C,tratamiento termico,327,17,489,0,0,,OP032
31579,03-23-2024,mañana,C,control_calidad,565,43,306,0,no,,OP036
61173,2023-08-15,noche,A,expedicion,507,8,238,0,n,,OP044
69638,2024-05-25,noche,B,corte,331,9,442,0,NO,,OP068
82845,2023-01-31,noche,B,control_calidad,376,,335,0,n,,OP069
73788,12/08/2023,tare,A,control_calidad,432,43,317,0,NO,,OP014
48890,2024-05-29,tarde,B,control_calidad,400,40,365,0,n,,OP043
17665,17.08.2024,tarde,C,mecanizado,353,27,396,0,n,,OP032
81066,2023-01-24,noche,C,cortte,310,14,382,0,No,,OP004
51104,2023-09-05,noches,A,Mecanizado,250,12,530,2,no,,OP053 
86569,2023-09-24,noch,C,expedicion,442,12,238,16,S,mantenimiento,OP047
79615,2023-05-08,tarde,C,corte,490,21,497,47,Sí,mantenimiento,OP043
76562,2023-09-08,Tarde,B,control_calidad,476,33,242,0,No,falta_material,OP073
34356,10-11-2024,tarde,A,mecanizado,238,13,446,0,no,,OP019
18907,2024-06-13,noche, A,expedicion ,294,3,304,0,n,,OP062
40828,2023-12-17,mañana,B,corte ,414,15,597,0,no,,OP-068
84668,2023-12-04,tarde,C,control calidad,411,21,403,0,No,,OP024
87924,2024-04-12,noche,B,mecanizado ,294,14,471,6,yes,error_operario,OP060
59615,2023-03-16,mañana,B,expedicion,550,8,265,1,S,error_operario,OP025
86503,2023-09-15,tare,C,expedicion,333,6,281,0,0,,OP072
51467,2023-07-06,tarde,,mecanizado,287,14,456,68,1,fallo_maquina,OP025
36772,2023-11-24,noches,B,mecaniado,369,23,367,0,No,,OP021
51180,2024-03-02,  tarde ,B,tratamiento_termico,349,11,394,0,NO,,OP051
61876,02-23-2024,mañana,,corte,423,12,478,14,NO,,OP042
94607,2024-03-26,mañaña,A,control_calidad,584,51,248,0,n,,OP063
51441,27.02.2023,noche,B,mecanizado,212,9,489,0,No,,OP074
19508,2024-11-07,noche,a,corte,336,11,588,0,NO,,OP028
94607,2024-11-24,tarde ,C,cortte,326,10,377,0,no,,OP066
19602,2023-12-01,noches,B,corte,312,7,477,0,0,,OP060
76307,2024-03-17,noches,C,tratamiento_termico ,233,8,386,0,n,,OP038
55745,13/03/2024,mañana,B,mecanizado,388,12,421,0,0,,OP027
42018,2023-02-10,noch,A,tratamiento_termico,377,10,412,62,yes,faltamaterial,OP004
30676,2024-01-20,noche,AA,control_calidad,479,44,305,0,no,,OP075
81200,15.05.2024,noche,,mecanizado,234,11,393,43,si,error_operario,OP054
90173,2023-03-08,noche,C,control_calidad,385,394,243,0,no,,OP073
95717,2023-02-09,mañana,BC,control_calidad,563,41,264,0,No,,OP024
97538,07-28-2023,tarde,BC,corte,491,12,338,7,SI,error_operario,OP077
49240,2023-08-17,mañana,B,control_calidad,485,43,298,0,no,,OP033
23577,2023-04-09,noche,,mecanizado,225,15,442,0,no,,OP079
27601,2023-12-03,tarde,C,tratamiento_termico,438,21,398,0,0,,OP050
24029,2024-10-11, mañana,B,control_calidad,434,40,299,0,0,,OP059
30374,2024-06-10,  Tarde,,tratamiento_termico,329,12,331,0,NO,,OP047
89276,20240413,noche,A,mecanizdo,338,15,540,0,0,,OP066
54942,2023/12/29,mañana,C,expedicion,451,7,243,0,NO,,OP080
93130,2024-09-16,mañana,B,expedicion,406,6,225,9,NO,,OP040
76244,25/02/2024,mañana,A,mecanizado,262,18,392,0,no,,Op018
16658,2023-07-30,noche,B,corte,342,9,475,0,No,,OP016
65518,2023-12-16,manana,B,control_calidad,529,32,296,0,n,,OP014
15778,2023-09-05,maana,C,tratamiento termico,311,17,374,0,NO,,OP043
89840,14.04.2023, mañana,A,tratamiento_termico,355,15,392,0,0,,OP049
44335,2023-04-11,mañana,,expedicion,512,7,218,0,no,,OP059
67912,2024-10-05,tarde,A,mecanizado,,5,329,0,no,,OP033
66057,2023-10-11,mañana,C,mecanizdo,264,9,402,0,NO,,Op023
24663,2023-08-22,tarde,C,control_calidad,385,29,328,0,NO,,OP44
29536,2023-04-25,tarde,,expedicion,409,9,261,0,no,,op052
58393,2024-01-30,noche,BC,corte,367,11,619,0,No,,OP064
29410,2024-03-26,mañana,B,corte,293,13,420,0,0,,OP067
15482,2023-09-25,tarde,BC,tratamiento_termico,369,21,333,0,No,,
15229,2024-06-03,noche,C,tratamiento_termico,318,16,471,0,n,,OP059
37535,2023-06-25,tarde,A,tratamiento_termicoo,367,15,380,5,yes,mantenimienot,OP077
97416,2023-08-09,tarde,C,mecanizado,317,17,398,33,Yes,mantenimienot,OP046
83385,28.02.2024,mañana,C,mecanizado,339,,403,0,NO,,OP074
63264,2024-04-30,tarde,B,control_calidad,481,42,346,0,No,,OP011
30257,2024-09-12,manana,A,expedicion,-21,6,215,0,0,,OP023
41029,2023-12-20,Mañana,C,control_calidad,381,42,300,11,1,mantenimiento,Op040
33206,2023-04-13,noche,C,tratamiento_termicoo,307,11,480,0,no,,OP032
13248,2024-02-18,tarde,,expedicion,461,8,256,0,0,,OP026
53540,2024-10-03,tarde,B,corte,420,14,456,0,NO,,OP-068
63964,2024-08-07,noche,A,corte ,389,14,533,0,n,,OP023
42527,13/04/2024,Tarde,A,expedicion,418,431,215,8,NO,, OP043
24168,2023-02-15,noche,C,control_calidad,521,50,345,0,NO,error_operario,OP049
15075,2024-09-06,noche,C,mecanizado,304,11,437,11,1,fallo_maquina, OP033
39154,2023-09-25,mañana,A,control calidad,400,21,446,35,1,error_operario,OP024
70332,2024-01-15,mañana,A,expedicion,339,6,248,5,0,,OP33
